gene,cluster,study,cluster_study,class,timing
LCP2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
LGMN,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
NLRP3,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
LY86,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HK2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
C1QA,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HSPB1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HSPH1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MEF2A,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FCGR1A,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
NABP1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
GNG7,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
LCP1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
UBC,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
P2RY13,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ITM2B,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
P2RY12,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MYADM,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HSPA8,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
LDLR,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
LCMT2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
TREM2,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
GLUL,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
FCGR2A,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ZNF217,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
APOBEC3C,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
CD84,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
KLHL6,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
ADAM28,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
PTAFR,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HSPD1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
HLA-B,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
MX1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
AIF1,Microglia_prenatal,psychENCODE,Microglia_prenatal_psychENCODE,microglia,mature
